hour,minute,degree
11,0,30,
11,1,35.5,
11,2,41,
11,3,46.5,
11,4,52,
11,5,57.5,
11,6,63,
11,7,68.5,
11,8,74,
11,9,79.5,
11,10,85,
11,11,90.5,
11,12,96,
11,13,101.5,
11,14,107,
11,15,112.5,
11,16,118,
11,17,123.5,
11,18,129,
11,19,134.5,
11,20,140,
11,21,145.5,
11,22,151,
11,23,156.5,
11,24,162,
11,25,167.5,
11,26,173,
11,27,178.5,
11,28,176,
11,29,170.5,
11,30,165,
11,31,159.5,
11,32,154,
11,33,148.5,
11,34,143,
11,35,137.5,
11,36,132,
11,37,126.5,
11,38,121,
11,39,115.5,
11,40,110,
11,41,104.5,
11,42,99,
11,43,93.5,
11,44,88,
11,45,82.5,
11,46,77,
11,47,71.5,
11,48,66,
11,49,60.5,
11,50,55,
11,51,49.5,
11,52,44,
11,53,38.5,
11,54,33,
11,55,27.5,
11,56,22,
11,57,16.5,
11,58,11,
11,59,5.5,
