hour,minute,degree
0,0,0,
0,1,5.5,
0,2,11,
0,3,16.5,
0,4,22,
0,5,27.5,
0,6,33,
0,7,38.5,
0,8,44,
0,9,49.5,
0,10,55,
0,11,60.5,
0,12,66,
0,13,71.5,
0,14,77,
0,15,82.5,
0,16,88,
0,17,93.5,
0,18,99,
0,19,104.5,
0,20,110,
0,21,115.5,
0,22,121,
0,23,126.5,
0,24,132,
0,25,137.5,
0,26,143,
0,27,148.5,
0,28,154,
0,29,159.5,
0,30,165,
0,31,170.5,
0,32,176,
0,33,178.5,
0,34,173,
0,35,167.5,
0,36,162,
0,37,156.5,
0,38,151,
0,39,145.5,
0,40,140,
0,41,134.5,
0,42,129,
0,43,123.5,
0,44,118,
0,45,112.5,
0,46,107,
0,47,101.5,
0,48,96,
0,49,90.5,
0,50,85,
0,51,79.5,
0,52,74,
0,53,68.5,
0,54,63,
0,55,57.5,
0,56,52,
0,57,46.5,
0,58,41,
0,59,35.5,
