hour,minute,degree
8,0,120,
8,1,125.5,
8,2,131,
8,3,136.5,
8,4,142,
8,5,147.5,
8,6,153,
8,7,158.5,
8,8,164,
8,9,169.5,
8,10,175,
8,11,179.5,
8,12,174,
8,13,168.5,
8,14,163,
8,15,157.5,
8,16,152,
8,17,146.5,
8,18,141,
8,19,135.5,
8,20,130,
8,21,124.5,
8,22,119,
8,23,113.5,
8,24,108,
8,25,102.5,
8,26,97,
8,27,91.5,
8,28,86,
8,29,80.5,
8,30,75,
8,31,69.5,
8,32,64,
8,33,58.5,
8,34,53,
8,35,47.5,
8,36,42,
8,37,36.5,
8,38,31,
8,39,25.5,
8,40,20,
8,41,14.5,
8,42,9,
8,43,3.5,
8,44,2,
8,45,7.5,
8,46,13,
8,47,18.5,
8,48,24,
8,49,29.5,
8,50,35,
8,51,40.5,
8,52,46,
8,53,51.5,
8,54,57,
8,55,62.5,
8,56,68,
8,57,73.5,
8,58,79,
8,59,84.5,
