hour,minute,degree
10,0,60,
10,1,65.5,
10,2,71,
10,3,76.5,
10,4,82,
10,5,87.5,
10,6,93,
10,7,98.5,
10,8,104,
10,9,109.5,
10,10,115,
10,11,120.5,
10,12,126,
10,13,131.5,
10,14,137,
10,15,142.5,
10,16,148,
10,17,153.5,
10,18,159,
10,19,164.5,
10,20,170,
10,21,175.5,
10,22,179,
10,23,173.5,
10,24,168,
10,25,162.5,
10,26,157,
10,27,151.5,
10,28,146,
10,29,140.5,
10,30,135,
10,31,129.5,
10,32,124,
10,33,118.5,
10,34,113,
10,35,107.5,
10,36,102,
10,37,96.5,
10,38,91,
10,39,85.5,
10,40,80,
10,41,74.5,
10,42,69,
10,43,63.5,
10,44,58,
10,45,52.5,
10,46,47,
10,47,41.5,
10,48,36,
10,49,30.5,
10,50,25,
10,51,19.5,
10,52,14,
10,53,8.5,
10,54,3,
10,55,2.5,
10,56,8,
10,57,13.5,
10,58,19,
10,59,24.5,
