hour,minute,degree
7,0,150,
7,1,155.5,
7,2,161,
7,3,166.5,
7,4,172,
7,5,177.5,
7,6,177,
7,7,171.5,
7,8,166,
7,9,160.5,
7,10,155,
7,11,149.5,
7,12,144,
7,13,138.5,
7,14,133,
7,15,127.5,
7,16,122,
7,17,116.5,
7,18,111,
7,19,105.5,
7,20,100,
7,21,94.5,
7,22,89,
7,23,83.5,
7,24,78,
7,25,72.5,
7,26,67,
7,27,61.5,
7,28,56,
7,29,50.5,
7,30,45,
7,31,39.5,
7,32,34,
7,33,28.5,
7,34,23,
7,35,17.5,
7,36,12,
7,37,6.5,
7,38,1,
7,39,4.5,
7,40,10,
7,41,15.5,
7,42,21,
7,43,26.5,
7,44,32,
7,45,37.5,
7,46,43,
7,47,48.5,
7,48,54,
7,49,59.5,
7,50,65,
7,51,70.5,
7,52,76,
7,53,81.5,
7,54,87,
7,55,92.5,
7,56,98,
7,57,103.5,
7,58,109,
7,59,114.5,
