hour,minute,degree
2,0,60,
2,1,54.5,
2,2,49,
2,3,43.5,
2,4,38,
2,5,32.5,
2,6,27,
2,7,21.5,
2,8,16,
2,9,10.5,
2,10,5,
2,11,0.5,
2,12,6,
2,13,11.5,
2,14,17,
2,15,22.5,
2,16,28,
2,17,33.5,
2,18,39,
2,19,44.5,
2,20,50,
2,21,55.5,
2,22,61,
2,23,66.5,
2,24,72,
2,25,77.5,
2,26,83,
2,27,88.5,
2,28,94,
2,29,99.5,
2,30,105,
2,31,110.5,
2,32,116,
2,33,121.5,
2,34,127,
2,35,132.5,
2,36,138,
2,37,143.5,
2,38,149,
2,39,154.5,
2,40,160,
2,41,165.5,
2,42,171,
2,43,176.5,
2,44,178,
2,45,172.5,
2,46,167,
2,47,161.5,
2,48,156,
2,49,150.5,
2,50,145,
2,51,139.5,
2,52,134,
2,53,128.5,
2,54,123,
2,55,117.5,
2,56,112,
2,57,106.5,
2,58,101,
2,59,95.5,
