hour,minute,degree
1,0,30,
1,1,24.5,
1,2,19,
1,3,13.5,
1,4,8,
1,5,2.5,
1,6,3,
1,7,8.5,
1,8,14,
1,9,19.5,
1,10,25,
1,11,30.5,
1,12,36,
1,13,41.5,
1,14,47,
1,15,52.5,
1,16,58,
1,17,63.5,
1,18,69,
1,19,74.5,
1,20,80,
1,21,85.5,
1,22,91,
1,23,96.5,
1,24,102,
1,25,107.5,
1,26,113,
1,27,118.5,
1,28,124,
1,29,129.5,
1,30,135,
1,31,140.5,
1,32,146,
1,33,151.5,
1,34,157,
1,35,162.5,
1,36,168,
1,37,173.5,
1,38,179,
1,39,175.5,
1,40,170,
1,41,164.5,
1,42,159,
1,43,153.5,
1,44,148,
1,45,142.5,
1,46,137,
1,47,131.5,
1,48,126,
1,49,120.5,
1,50,115,
1,51,109.5,
1,52,104,
1,53,98.5,
1,54,93,
1,55,87.5,
1,56,82,
1,57,76.5,
1,58,71,
1,59,65.5,
