hour,minute,degree
6,0,180,
6,1,174.5,
6,2,169,
6,3,163.5,
6,4,158,
6,5,152.5,
6,6,147,
6,7,141.5,
6,8,136,
6,9,130.5,
6,10,125,
6,11,119.5,
6,12,114,
6,13,108.5,
6,14,103,
6,15,97.5,
6,16,92,
6,17,86.5,
6,18,81,
6,19,75.5,
6,20,70,
6,21,64.5,
6,22,59,
6,23,53.5,
6,24,48,
6,25,42.5,
6,26,37,
6,27,31.5,
6,28,26,
6,29,20.5,
6,30,15,
6,31,9.5,
6,32,4,
6,33,1.5,
6,34,7,
6,35,12.5,
6,36,18,
6,37,23.5,
6,38,29,
6,39,34.5,
6,40,40,
6,41,45.5,
6,42,51,
6,43,56.5,
6,44,62,
6,45,67.5,
6,46,73,
6,47,78.5,
6,48,84,
6,49,89.5,
6,50,95,
6,51,100.5,
6,52,106,
6,53,111.5,
6,54,117,
6,55,122.5,
6,56,128,
6,57,133.5,
6,58,139,
6,59,144.5,
