hour,minute,degree
9,0,90,
9,1,95.5,
9,2,101,
9,3,106.5,
9,4,112,
9,5,117.5,
9,6,123,
9,7,128.5,
9,8,134,
9,9,139.5,
9,10,145,
9,11,150.5,
9,12,156,
9,13,161.5,
9,14,167,
9,15,172.5,
9,16,178,
9,17,176.5,
9,18,171,
9,19,165.5,
9,20,160,
9,21,154.5,
9,22,149,
9,23,143.5,
9,24,138,
9,25,132.5,
9,26,127,
9,27,121.5,
9,28,116,
9,29,110.5,
9,30,105,
9,31,99.5,
9,32,94,
9,33,88.5,
9,34,83,
9,35,77.5,
9,36,72,
9,37,66.5,
9,38,61,
9,39,55.5,
9,40,50,
9,41,44.5,
9,42,39,
9,43,33.5,
9,44,28,
9,45,22.5,
9,46,17,
9,47,11.5,
9,48,6,
9,49,0.5,
9,50,5,
9,51,10.5,
9,52,16,
9,53,21.5,
9,54,27,
9,55,32.5,
9,56,38,
9,57,43.5,
9,58,49,
9,59,54.5,
